Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Convit, J., Ulrich, M., Pérez, M., Hung, J., Castillo, J., Rojas, H., Viquez, A., Araya, L.N., De Lima, H.","7006433531; 7102911102; 7403043127; 7201963577; 7202601728; 7004719136; 6506128732; 6602406300; 6603040634","Atypical cutaneous leishmaniasis in Central America: Possible interaction between infectious and environmental elements",2005,"Transactions of the Royal Society of Tropical Medicine and Hygiene",99,"1",,13,17,,25,10.1016/j.trstmh.2004.02.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-8744249243&partnerID=40&md5=2f2ea429c75a3b95e03b4ed59eff3534",Article,Final,"",Scopus,2-s2.0-8744249243
"Pérez, O., Escobedo, A.H.","35238183300; 57201376903","Biometric observations of newborn Crocodylus acutus (Cuvier, 1807) obtained in captivity in, Tumbes, Peru | Observaciones biométricas de Crocodylus acutus (Cuvier, 1807) recién nacidos en cautiverio, Tumbes, Perú",2005,"Revista Peruana de Biologia",12,"1",,171,172,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019054379&partnerID=40&md5=88e9aec6a089784e3069ec4673b049b9",Article,Final,"",Scopus,2-s2.0-85019054379
"Pérez, O., Escobedo-Galván, A.H.","35238183300; 25642379900","Observations about reproduction on captivity of Crocodylus acutus (Cuvier, 1807) in Peru | Notas sobre la reproducción en cautiverio de Crocodylus acutus (Cuvier, 1807) en el Perú",2005,"Revista Peruana de Biologia",12,"3",,479,481,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77951038923&partnerID=40&md5=176ad0b3860e1a373da15c1c5084a74e",Article,Final,"",Scopus,2-s2.0-77951038923
"Freund, M.A.","16411797900","Realist conceptualism and computability | Conceptualismo realista y computabilidad",2005,"Critica-Revista Hispanoamericana de Filosofia",37,"111",,3,38,,1,10.22201/iifs.18704905e.2005.459,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61449264613&partnerID=40&md5=bcba9e93065066d60dac91631b3d84ab",Review,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-61449264613
"Schneider, B.H., Woodburn, S., Del Pilar Soteras Del Toro, M., Udvari, S.J.","7402402101; 6603268076; 8684900200; 7801644546","Cultural and gender differences in the implications of competition for early adolescent friendship",2005,"Merrill-Palmer Quarterly",51,"2",,163,191,,41,10.1353/mpq.2005.0013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-24144470830&partnerID=40&md5=aec5be8348763e037fa5adbb508e5726",Article,Final,"",Scopus,2-s2.0-24144470830
"Partanen, T.J., Loría-Bolaños, R., Wesseling, C., Castillo, C., Johansson, K.M.","7005662834; 8650160400; 7004008573; 57196643415; 56011407600","Perspectives for workplace health promotion in Latin America and the Caribbean",2005,"International Journal of Occupational and Environmental Health",11,"3",,313,321,,7,10.1179/oeh.2005.11.3.313,"https://www.scopus.com/inward/record.url?eid=2-s2.0-23044497419&partnerID=40&md5=61997f4da3ea86b6c41c27f0bb72a2b4",Review,Final,"",Scopus,2-s2.0-23044497419
"Navarro-Bañón, V., Vega-Baudrit, J., Vázquez, P., Martín-Martínez, J.M.","56800031500; 8611304200; 7006479968; 55663775600","Interactions in nanosilica-polyurethane composites evidenced by plate-plate rheology and DMTA",2005,"Macromolecular Symposia",221,"",,1,10,,20,10.1002/masy.200550301,"https://www.scopus.com/inward/record.url?eid=2-s2.0-20444494313&partnerID=40&md5=ed4ac6a474418fe71f089e3aef059153",Conference Paper,Final,"",Scopus,2-s2.0-20444494313
"Blanco, L.E., Aragón, A., Lundberg, I., Lidén, C., Wesseling, C., Nise, G.","8641054300; 57206174933; 57213024594; 57204337387; 7004008573; 6701843866","Determinants of dermal exposure among Nicaraguan subsistence farmers during pesticide applications with backpack sprayers",2005,"Annals of Occupational Hygiene",49,"1",,17,24,,38,10.1093/annhyg/meh084,"https://www.scopus.com/inward/record.url?eid=2-s2.0-14944370496&partnerID=40&md5=e287e6ac01c3f77c3861192af24e9ddc",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-14944370496
"Monge-Rojas, R., Garita, C., Sánchez, M., Muñoz, L.","6601928814; 6603490588; 57198646854; 7101704157","Barriers to and motivators for healthful eating as perceived by rural and urban Costa Rican adolescents",2005,"Journal of Nutrition Education and Behavior",37,"1",,33,40,,31,10.1016/S1499-4046(06)60257-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-14644391501&partnerID=40&md5=9467025442d11fd94d172886e63029a0",Article,Final,"",Scopus,2-s2.0-14644391501
"Ortega, C., Villamil, L.C., Cediel, N., Rosenfeld, C., De Meneghi, D., De Rosa, M., Estol, L., Lleguia, G., Fonseca-Poveda, A., Torres, M., Caballero-Castillo, M., De Balogh, K.","7005784648; 6603204027; 7801565402; 7103362582; 56589826400; 12445289000; 16635788200; 16638076200; 16636039300; 56459482700; 8223010400; 57225274637","The SAPUVET and SPVet networks: An integration model in veterinary public health between Europe and Latin America | Las redes SAPUVET y SPVet: Un modelo de integración en materia de salud pública veterinaria entre Europa y América Latina",2005,"Revista Panamericana de Salud Publica/Pan American Journal of Public Health",17,"1",,60,65,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-13544272914&partnerID=40&md5=6d252cfd0eea35a4ae26eea61b1cf68a",Review,Final,"",Scopus,2-s2.0-13544272914
"Lapaque, N., Moriyon, I., Moreno, E., Gorvel, J.-P.","9637779600; 7004333011; 7202827718; 7005675644","Brucella lipopolysaccharide acts as a virulence factor",2005,"Current Opinion in Microbiology",8,"1",,60,66,,186,10.1016/j.mib.2004.12.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-13444267523&partnerID=40&md5=9aea2aa10b54bdc0f979a2c8829ddfa7",Review,Final,"",Scopus,2-s2.0-13444267523
"Hernández, M.U., Cabrera Peña, J., Protti Quesada, M.","8532136800; 6602252715; 6507569322","Fertility, fecundity and gonadosomatic index of Poecilia reticulata (Pisces: Poeciliidae) in Heredia, Costa Rica | Fecundidad, fertilidad e índice gonadosomático de Poecilia reticulata (Pisces: Poeciliidae) en Heredia, Costa Rica",2004,"Revista de Biologia Tropical",52,"4",,945,950,,15,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-23844495103&partnerID=40&md5=d78bb75d190674b36b7e29ae6537664e",Article,Final,"",Scopus,2-s2.0-23844495103
"Günther, J., Jiménez-Montealegre, R.","7102835588; 6508002102","Effect of the probiotic Bacillus subtilis on the growth and food utilization of tilapia (Oreochromis niloticus) and prawn (Macrobrachium rosenbergii) under laboratory conditions | Efecto del probiótico Bacillus subtilis sobre el crecimiento y alimentación de tilapia (Oreochromis niloticus) y langostino (Macrobrachium rosenbergii) en laboratorio",2004,"Revista de Biologia Tropical",52,"4",,937,943,,27,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-23844471278&partnerID=40&md5=ca10c9228bfaea79450e9067ea5d2fce",Article,Final,"",Scopus,2-s2.0-23844471278
"Calvo, R.","8661056600","Dipteran parasitoidism on larvae of Caligo atreus (Lepidoptera: Nymphalidae) in Cartago, Costa Rica | Parasitoidismo por dípteros en larvas de Caligo atreus (Lepidoptera: Nymphalidae) en Cartago, Costa Rica",2004,"Revista de Biologia Tropical",52,"4",,915,917,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-23844439929&partnerID=40&md5=1edc41bca6ed011ec88f90dccc3d2a6c",Article,Final,"",Scopus,2-s2.0-23844439929
"Herrero, M.V., Yarnell, W.E., Schmidtmann, E.T.","35895042500; 8310196000; 7006460448","Landscape associations of the sand fly, Lutzomyia (Heleocyrtomyia) apache (Diptera: Psychodidae), in the southwestern United State: A geographic information system analysis",2004,"Journal of Vector Ecology",29,"2",,205,211,,6,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-14744303168&partnerID=40&md5=f98b4a907c51f3fac0543ba1d2ee3e77",Article,Final,"",Scopus,2-s2.0-14744303168
"Webb, C., Galina, C.S., Molina, R., Maquivar, M., Estrada, S.","57198268150; 7004599978; 7202381765; 6507956078; 7003795646","Effect of two types of weaning and the application of a progestagen on the fertility in Bos indicus cattle | Efecto de dos tipos de destete y la aplicación de un progestágeno sobre la fertilidad en vacas cebuinas (Bos indicus)",2004,"Archivos de Medicina Veterinaria",36,"2",,147,154,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-13944277777&partnerID=40&md5=1153fc04819f1af2509200b062ade34e",Article,Final,"",Scopus,2-s2.0-13944277777
"Norabuena, E., Dixon, T.H., Schwartz, S., DeShon, H., Newman, A., Protti, M., Gonzalez, V., Dorman, L.R., Flueh, E.R., Lundgren, P., Pollitz, F., Sampson, D.","6602527639; 7101998527; 55279711500; 7801443792; 7201587517; 7006160987; 35451298400; 7004375026; 7003329548; 24547115000; 7003382969; 35230722700","Geodetic and seismic constraints on some seismogenic zone processes in Costa Rica",2004,"Journal of Geophysical Research: Solid Earth",109,"11", B11403,1,25,,101,10.1029/2003JB002931,"https://www.scopus.com/inward/record.url?eid=2-s2.0-20044375376&partnerID=40&md5=419a3f7eda505c62b58004c4713bb2cb",Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-20044375376
"Westenberger, S.J., Sturm, N.R., Yanega, D., Podlipaev, S.A., Zeledón, R., Campbell, D.A., Maslov, D.A.","7801645734; 7003467739; 6602070490; 6603929306; 7006195820; 7404497696; 7006798444","Trypanosomatid biodiversity in Costa Rica: Genotyping of parasites from Heteroptera using the spliced leader RNA gene",2004,"Parasitology",129,"5",,537,547,,58,10.1017/S003118200400592X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-8144222729&partnerID=40&md5=99e0aa5d74c1b2a02d0cd29daaf7282b",Article,Final,"",Scopus,2-s2.0-8144222729
"Ansari, K.I., Palacios, N., Araya, C., Langin, T., Egan, D., Doohan, F.M.","7007123436; 34572634900; 6602140620; 7003693665; 7102100184; 6602180558","Pathogenic and genetic variability among Colletotrichum lindemuthianum isolates of different geographic origins",2004,"Plant Pathology",53,"5",,635,642,,35,10.1046/j.0032-0862.2004.01057.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-7044260962&partnerID=40&md5=6f31d70912c68baf055d1d20a38f93c9",Article,Final,"",Scopus,2-s2.0-7044260962
"Aragón, A., Blanco, L., López, L., Lidén, C., Nise, G., Wesseling, C.","57206174933; 8641054300; 57197542438; 57204337387; 6701843866; 7004008573","Reliability of a visual scoring system with fluorescent tracers to assess dermal pesticide exposure",2004,"Annals of Occupational Hygiene",48,"7",,601,606,,15,10.1093/annhyg/meh052,"https://www.scopus.com/inward/record.url?eid=2-s2.0-5444246048&partnerID=40&md5=ab0200e00a84dd82c7929d9e6162f364",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-5444246048
"Romero, J.J., Pérez, E., Frankena, K.","22433791100; 25925328700; 7003533213","Effect of a killed whole Neospora caninum tachyzoite vaccine on the crude abortion rate of Costa Rican dairy cows under field conditions",2004,"Veterinary Parasitology",123,"3-4",,149,159,,81,10.1016/j.vetpar.2004.06.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-5444251694&partnerID=40&md5=6c7c30b8009e190a1d10d19e0b35f2ef",Article,Final,"",Scopus,2-s2.0-5444251694
"Sierra-Beltrán, A.P., Lluch-Cota, D.B., Lluch-Cota, S.E., Cortés-Altamirano, R., Cortés-Lara, M.C., Castillo-Chávez, M., Carrillo, L., Pacas, L., Víquez, R., García-Hansen, I.","57203777679; 55993650900; 6601930762; 6602363454; 6507617872; 6503975601; 7006344836; 6504491897; 6507207525; 6506835051","Spatial-temporal dynamics of red tide precursor organisms at the Pacific coast of North and Central America | Dinámica espacio-temporal de organismos precursores de marea roja en la costa Pacífica de América del Norte y Centroamérica",2004,"Revista de Biologia Tropical",52,"SUPPL. 1",,99,107,,8,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-6944221713&partnerID=40&md5=653abafdedde41d7187b2255a094ffe1",Review,Final,"",Scopus,2-s2.0-6944221713
"Valverde-Cerdas, L., Alvarado, L., Hine, A.","55666666600; 36889008700; 7006679339","Micropropagation of clones from controlled crosses of Gmelina arborea in Costa Rica",2004,"New Forests",28,"2-3",,187,194,,6,10.1023/B:NEFO.0000040945.75019.38,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4544369124&partnerID=40&md5=d42538ceb475788345986f3207f50b25",Conference Paper,Final,"",Scopus,2-s2.0-4544369124
"Zaldívar, M.E., Rocha, O., Glander, K.E., Aguilar, G., Huertas, A.S., Sánchez, R., Wong, G.","6603689776; 55606591800; 6701864153; 7005523810; 8633745800; 16029447300; 55040777900","Distribution, ecology, life history, genetic variation, and risk of extinction of nonhuman primates from Costa Rica",2004,"Revista de Biologia Tropical",52,"3",,679,693,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-21044434246&partnerID=40&md5=80a114c22a8698e7c4e00d55a29fd43e",Review,Final,"",Scopus,2-s2.0-21044434246
"Castro-Gamboa, I., Castro, O.","6507983527; 7005438394","Iridoids from the aerial parts of Verbena littoralis (Verbenaceae)",2004,"Phytochemistry",65,"16",,2369,2372,,20,10.1016/j.phytochem.2004.07.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4544234577&partnerID=40&md5=01942197f19c42ac0fddbd3e92d3a914",Article,Final,"",Scopus,2-s2.0-4544234577
"Tassi, F., Vaselli, O., Barboza, V., Fernandez, E., Duarte, E.","6602532097; 7003931314; 6506254243; 35614051300; 7005169289","Fluid geochemistry and seismic activity in the period of 1998-2002 at Turrialba Volcano (Costa Rica)",2004,"Annals of Geophysics",47,"4",,1501,1511,,21,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-12844269914&partnerID=40&md5=3beecfb76351a6b7990ed0e2bc1ed095",Article,Final,"",Scopus,2-s2.0-12844269914
"Myers, M.C., Vaughan, C.","8102606300; 7102679463","Movement and behavior of scarlet macaws (Ara macao) during the post-fledging dependence period: Implications for in situ versus ex situ management",2004,"Biological Conservation",118,"3",,411,420,,37,10.1016/j.biocon.2003.09.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1842834185&partnerID=40&md5=c624b17ee4a5c88d7abab40de00d9a0c",Article,Final,"",Scopus,2-s2.0-1842834185
"Iinuma, T., Protti, M., Obana, K., González, V., Van der Laat, R., Kato, T., Miyazaki, S., Kaneda, Y., Hernández, E.","7101744240; 7006160987; 6603922267; 35451298400; 6507835537; 8558968300; 16236963500; 7202737096; 55435168800","Inter-plate coupling in the Nicoya Peninsula, Costa Rica, as deduced from a trans-peninsula GPS experiment",2004,"Earth and Planetary Science Letters",223,"1-2",,203,212,,18,10.1016/j.epsl.2004.04.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-2942654848&partnerID=40&md5=070925745e3afba1a1e22e89f87592f6",Article,Final,"",Scopus,2-s2.0-2942654848
"Alfaro, J., Zúñiga, G., Komen, J.","7007070673; 35910381500; 56608244900","Induction of ovarian maturation and spawning by combined treatment of serotonin and a dopamine antagonist, spiperone in Litopenaeus stylirostris and Litopenaeus vannamei",2004,"Aquaculture",236,"1-4",,511,522,,63,10.1016/j.aquaculture.2003.09.020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-2442432463&partnerID=40&md5=551da1c35f91e956069e0887163f9816",Article,Final,"",Scopus,2-s2.0-2442432463
"Ballestero, D., Coen, J.E.","7801374962; 7003749553","Generation and propagation of anticyclonic rings in the Gulf of Papagayo",2004,"International Journal of Remote Sensing",25,"11",,2217,2224,,23,10.1080/01431160310001642395,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955227877&partnerID=40&md5=f7fc335331b62d9e3d6b4a47f9516889",Article,Final,"",Scopus,2-s2.0-77955227877
"Calder, I., Amezaga, J., Aylward, B., Bosch, J., Fuller, L., Gallop, K., Gosain, A., Hope, R., Jewitt, G., Miranda, M., Porras, I., Wilson, V.","24545241000; 6508369413; 6701800679; 7402325643; 57189290865; 6507553440; 24398775800; 7102539082; 6603092067; 7201497238; 6701825872; 57214045137","Forest and water policies: The need to reconcile public and science perceptions",2004,"Geologica Acta",2,"2",,157,166,,21,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-3042839359&partnerID=40&md5=d2689d0860b4a834848e4f9d2ac14576",Article,Final,"",Scopus,2-s2.0-3042839359
"Cerdas, L.V., Guzmán, L.A.","55666666600; 55947357400","In vitro organogenesis in Dalbergia retusa (Papilonaceae) | Organogénesis in vitro en Dalbergia retusa (Papilonaceae)",2004,"Revista de Biologia Tropical",52,"1",,41,46,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-5344276610&partnerID=40&md5=58fbba9ae6727dedd894cb0d7c208995",Article,Final,"",Scopus,2-s2.0-5344276610
"Rodríguez-Vivas, R.I., Mata-Mendez, Y., Pérez-Gutierrez, E., Wagner, G.","6602855359; 6505688386; 6507090632; 35569381600","The Effect of Management Factors on the Seroprevalence of Anaplasma marginale in Bos indicus cattle in the Mexican Tropics",2004,"Tropical Animal Health and Production",36,"2",,135,143,,38,10.1023/B:TROP.0000012105.19518.80,"https://www.scopus.com/inward/record.url?eid=2-s2.0-17044451050&partnerID=40&md5=8bad4d0d43a91cf859c87acdc82638c7",Article,Final,"",Scopus,2-s2.0-17044451050
"Sánchez-Vindas, P.E.","6602463978","A new species of Eugenia L. (Myrtaceae) from the Costa Rican rainforests | Una nueva especie de eugenia l. (Myrtaceae) de las selvas húmedas costarricenses",2004,"Lankesteriana",4,"3",,179,182,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84946414122&partnerID=40&md5=8944875d86de9280bc711833d6d63ec8",Article,Final,"",Scopus,2-s2.0-84946414122
"Arce, L.G., Álvarez, L.P.","56946547700; 13008901300","Hoffmannia stephaniae (Rubiaceae), una nueva especie de Costa Rica",2004,"Lankesteriana",4,"3",,183,186,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79953886092&partnerID=40&md5=bbce5c43ff7e3ee7c7bcc9cb3c7add31",Article,Final,"",Scopus,2-s2.0-79953886092
"Delgado, E., McConnell, R., Miranda, J., Keifer, M., Lundberg, I., Partanen, T., Wesseling, C.","7102440244; 7101882619; 7202982272; 7003964665; 57213024594; 7005662834; 7004008573","Central nervous system effects of acute organophosphate poisoning in a two-year follow-up",2004,"Scandinavian Journal of Work, Environment and Health",30,"5",,362,370,,32,10.5271/sjweh.824,"https://www.scopus.com/inward/record.url?eid=2-s2.0-7044239718&partnerID=40&md5=74109b8722d46b60bdd8df4c0c8bd9db",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-7044239718
"Urriola Hernández, M., Cabrera Peña, J., Protti Quesada, M.","6506097212; 6602252715; 6507569322","Composition, growth and condition index for a population of Poecilia reticulata (Pisces: Poeciliidae), in a pond in Heredia, Costa Rica | Composición, crecimiento e índice de condición de una población de Poecilia reticulata (Pisces: Poeciliidae), en un estanque en Heredia, Costa Rica",2004,"Revista de Biologia Tropical",52,"1",,157,162,,10,10.15517/rbt.v52i1.14818,"https://www.scopus.com/inward/record.url?eid=2-s2.0-5344268824&partnerID=40&md5=c70a0f6e1034edddcd594d24a8229ac3",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-5344268824
"Pérez, D., Kanninen, M., Matamores, F., Fonseca, W., Chaves, E.","36841747800; 7005124385; 6504123436; 39361505600; 57225431577","Heartwood, sapwood and bark contents of Bombacopsis quinata in Costa Rica",2004,"Journal of Tropical Forest Science",16,"3",,318,327,,10,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4544352903&partnerID=40&md5=941d025ba517fe7a07f7fafac9d1aecb",Article,Final,"",Scopus,2-s2.0-4544352903
"Scott, I.M., Jensen, H., Nicol, R., Lesage, L., Bradbury, R., Sánchez-Vindas, P., Poveda, L., Arnason, J.T., Philogène, B.J.R.","15726772200; 8367229400; 7005164901; 7004179903; 12804289500; 6602463978; 6603810968; 10239421300; 6603905920","Efficacy of Piper (Piperaceae) extracts for control of common home and garden insect pests",2004,"Journal of Economic Entomology",97,"4",,1390,1403,,60,10.1093/jee/97.4.1390,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4444276793&partnerID=40&md5=19ab2f5bb24e959abb62084a50775593",Article,Final,"",Scopus,2-s2.0-4444276793
"Tsacheva, I., Odjakova, M., Kojouharova, M., Kraus, W., Rostan, J., Vogler, B., Iossifova, T., Kostova, I., Navas, H.","6506945652; 6506647698; 6603239285; 56273684100; 6603385355; 7004405715; 6602755541; 7004126313; 6602444273","Complement Inhibiting Properties of Dragon's Blood from Croton draco",2004,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences",59,"7-8",,528,532,,16,10.1515/znc-2004-7-814,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4143089247&partnerID=40&md5=7c0559f464469e78db41bd479b557c5f",Article,Final,"",Scopus,2-s2.0-4143089247
"Araya, C.M., Alleyne, A.T., Steadman, J.R., Eskridge, K.M., Coyne, D.P.","6602140620; 23970301600; 7006826579; 7003988209; 7005444094","Phenotypic and genotypic characterization of Uromyces appendiculatus from Phaseolus vulgaris in the Americas",2004,"Plant Disease",88,"8",,830,836,,26,10.1094/PDIS.2004.88.8.830,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4043065251&partnerID=40&md5=616f5c1529b42d654b517d24520a6c99",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-4043065251
"Monge, P., Wesseling, C., Engel, L.S., Keifer, M., Zuurbier, M., Rojas, M., Partanen, T.","6603886084; 7004008573; 7101680670; 7003964665; 14632568500; 36752694400; 7005662834","An icon-based interview for the assessment of occupational pesticide exposure in a case-control study of childhood leukemia",2004,"International Journal of Occupational and Environmental Health",10,"1",,72,78,,12,10.1179/oeh.2004.10.1.72,"https://www.scopus.com/inward/record.url?eid=2-s2.0-3943093314&partnerID=40&md5=24a22cd59e4cf5f21962b363837ff044",Review,Final,"",Scopus,2-s2.0-3943093314
"Saenz, F., Ruben, R.","15136606400; 7103127097","Export contracts for non-traditional products: Chayote from Costa Rica",2004,"Journal on Chain and Network Science",4,"2",,139,150,,6,10.3920/JCNS2004.x048,"https://www.scopus.com/inward/record.url?eid=2-s2.0-38849199709&partnerID=40&md5=a080bce87372bdf95dce2e201093a78a",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-38849199709
"Lopez, J.E., Vaughan, C.","56309358100; 7102679463","Observations on the role of frugivorous bats as seed disperses in Costa Rican secondary humid forests",2004,"Acta Chiropterologica",6,"1",,111,119,,40,10.3161/001.006.0109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-3242878974&partnerID=40&md5=1cc296777ce00be7fa9e08a44c7169ed",Article,Final,"All Open Access, Green",Scopus,2-s2.0-3242878974
"Galván, A.H.E.","57201376903","Advance in the knowledge and actual conservation status of Tumbes Crocodile (Crocodylus acutus Cuvier, 1807) | Avances en el conocimiento y el estado actual de conservación del Cocodrilo de Tumbes (Crocodylus acutus Cuvier, 1807)",2004,"Revista Peruana de Biologia",11,"2",,203,208,,7,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-31744449019&partnerID=40&md5=02ecb4863fd2c30c25990c394165a378",Article,Final,"",Scopus,2-s2.0-31744449019
"Vargas, B., Van Arendonk, J.A.M.","25226263500; 7006136794","Genetic comparison of breeding schemes based on semen importation and local breeding schemes: Framework and application to Costa Rica",2004,"Journal of Dairy Science",87,"5",,1496,1505,,14,10.3168/jds.S0022-0302(04)73301-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-3142533183&partnerID=40&md5=d07ffa18b173236fea01e220e98896dc",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-3142533183
"Ivanova, A., Kostova, I., Navas, H.R., Villegas, J.","7202202620; 7004126313; 6602444273; 7005476636","Volatile components of some rutaceae species",2004,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences",59,"3-4",,169,173,,11,10.1515/znc-2004-3-405,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1942445229&partnerID=40&md5=0400e09be8612c61a22223a35fe2f533",Article,Final,"",Scopus,2-s2.0-1942445229
"Ortega, C., De Meneghi, D., De Balogh, K., De Rosa, M., Estol, L., Leguia, G., Fonseca, A., Torres, M., Caballero-Castillo, M.","7005784648; 56589826400; 57225274637; 12445289000; 16635788200; 6507759452; 8223010200; 56459482700; 8223010400","The current importance of veterinary public health: The SAPUVET project | Importancia de la salud pública veterinaria en la actualidad: El proyecto SAPUVET",2004,"OIE Revue Scientifique et Technique",23,"3",,841,849,,5,10.20506/rst.23.3.1527,"https://www.scopus.com/inward/record.url?eid=2-s2.0-18244371103&partnerID=40&md5=623b52ae46f7ff09392f3fb74e730460",Review,Final,"",Scopus,2-s2.0-18244371103
"Moriyón, I., Grilló, M.J., Monreal, D., González, D., Marín, C., López-Goñi, I., Mainar-Jaime, R.C., Moreno, E., Blasco, J.M.","7004333011; 57188637123; 14627495700; 55423881100; 7101670563; 36622026800; 6603378478; 7202827718; 7102318831","Rough vaccines in animal brucellosis: Structural and genetic basis and present status",2004,"Veterinary Research",35,"1",,1,38,,212,10.1051/vetres:2003037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1642296679&partnerID=40&md5=314c67775a524b2203923498bb66f56e",Review,Final,"All Open Access, Green",Scopus,2-s2.0-1642296679
"Calderón, R.A., Rivera, G., Sánchez, L.A., Zamora, L.G.","7007086348; 37073174200; 36007716400; 8303526000","Chalkbrood (ascosphaera apis) and some other fungi associated with africanized honey bees (apis mellifera) in costa Rica",2004,"Journal of Apicultural Research",43,"4",,187,188,,5,10.1080/00218839.2004.11101135,"https://www.scopus.com/inward/record.url?eid=2-s2.0-14844334235&partnerID=40&md5=1f89e87f44d546443a82527fbe34b243",Article,Final,"",Scopus,2-s2.0-14844334235
"Vega-Baudrif, J., Pereira, R., Nakayama, K., Masuda, T., Cao, A.","6508310758; 57214661928; 7403667503; 57206581975; 7201452256","Structure and Properties of Biodegradable Polymers: Rolling Effect in Poly (butylene succinate) Sheets",2004,"Polymers and Polymer Composites",12,"1",,63,73,,4,10.1177/096739110401200106,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1242353010&partnerID=40&md5=5cb7888c9a32a068d96da8abf06a07c4",Article,Final,"",Scopus,2-s2.0-1242353010
"Clark, D.B., Read, J.M., Clark, M.L., Cruz, A.M., Dotti, M.F., Clark, D.A.","35551380400; 7202391740; 35247685500; 7202515440; 7005407018; 57200995038","Application of 1-m and 4-m resolution satellite data to ecological studies of tropical rain forests",2004,"Ecological Applications",14,"1",,61,74,,87,10.1890/02-5120,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1242276490&partnerID=40&md5=4096966a39e3d0b940a99988b65f8bb2",Article,Final,"",Scopus,2-s2.0-1242276490
"Clark, D.B., Castro, C.S., Alvarado, L.D.A., Read, J.M.","35551380400; 24462599400; 57521204300; 7202391740","Quantifying mortality of tropical rain forest trees using high-spatial-resolution satellite data",2004,"Ecology Letters",7,"1",,52,59,,80,10.1046/j.1461-0248.2003.00547.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0742302380&partnerID=40&md5=6ee2bf5f0b767e49c0dc183702ab9114",Article,Final,"",Scopus,2-s2.0-0742302380
"Ulloa, J.B., Van Weerd, J.H., Huisman, E.A., Verreth, J.A.J.","6506433711; 6602218102; 7003652562; 57207022070","Tropical agricultural residues and their potential uses in fish feeds: The Costa Rican situation",2004,"Waste Management",24,"1",,87,97,,43,10.1016/j.wasman.2003.09.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0346220222&partnerID=40&md5=fa46c765e89647830ed927f6a558a6bf",Article,Final,"",Scopus,2-s2.0-0346220222
